ingredient,pairings
alfalfa (weighted),"['chervil', 'artichoke', 'cassava', 'chickpea', 'lentils', 'mung bean', 'garden cress', 'rye', 'dates', 'pumpkin']"
alfalfa (n. moledules),"['celery', 'orange', 'parsnip', 'lemon', 'peanut butter', 'apple', 'carrot', 'garden cress', 'peanut', 'green beans']"
alfalfa (word emb.),"['lettuce', 'radish', 'wasabi', 'rye bread', 'mandarin orange', 'watercress', 'munster cheese', 'cucumber', 'smoked fish', 'dill']"
allspice (weighted),"['summer savory', 'cumin', 'sage', 'anise', 'winter savory', 'marjoram', 'tarragon', 'turmeric', 'star anise', 'saffron']"
allspice (n. moledules),"['laurel', 'black pepper', 'dill', 'basil', 'rosemary', 'ginger', 'marjoram', 'spearmint', 'oregano', 'sage']"
allspice (word emb.),"['mace', 'cardamom', 'clove', 'quince', 'apple', 'star anise', 'raisin', 'black tea', 'cinnamon', 'pumpkin']"
almond (weighted),"['pistachio', 'hazelnut', 'brazil nut', 'zucchini', 'rhubarb', 'beetroot', 'dates', 'cashew nut', 'dandelion', 'brussels sprout']"
almond (n. moledules),"['tea', 'peanut butter', 'peanut', 'cocoa', 'chocolate', 'potato', 'tomato', 'green beans', 'carrot', 'mango']"
almond (word emb.),"['dates', 'pecan', 'walnut', 'fig', 'currant', 'carob', 'vanilla', 'brazil nut', 'pistachio', 'sunflower']"
angelica (weighted),"['black raspberry', 'persimmon', 'borage', 'arrowroot', 'capers', 'sorrel', 'carob', 'shallot', 'water chestnut', 'wasabi']"
angelica (n. moledules),"['spearmint', 'parsley', 'tea', 'mango', 'coriander', 'nutmeg', 'tomato', 'rosemary', 'lemon', 'dill']"
angelica (word emb.),"['sour cherry', 'gooseberry', 'bergamot', 'cherry brandy', 'black currant', 'satsuma orange', 'elderberry', 'kumquat', 'plum brandy', 'chamomile']"
anise (weighted),"['cumin', 'turmeric', 'tarragon', 'saffron', 'fennel', 'summer savory', 'thyme', 'sage', 'lemon grass', 'arrowroot']"
anise (n. moledules),"['dill', 'black pepper', 'basil', 'star anise', 'carrot', 'fennel', 'rosemary', 'ginger', 'parsley', 'cinnamon']"
anise (word emb.),"['cassia', 'star anise', 'black tea', 'nigella seed', 'angelica', 'cardamom', 'tea', 'lavender', 'quince', 'mace']"
apple (weighted),"['grape', 'pineapple', 'apricot', 'plum', 'pear', 'mango', 'fig', 'cranberry', 'tomato', 'banana']"
apple (n. moledules),"['strawberry', 'grape', 'tea', 'banana', 'pineapple', 'apricot', 'chocolate', 'cocoa', 'guava', 'papaya']"
apple (word emb.),"['allspice', 'pecan', 'bartlett pear', 'cranberry', 'peach', 'rhubarb', 'apricot', 'dates', 'fig', 'buttermilk']"
apple brandy (weighted),"['cherry brandy', 'brandy', 'blackberry brandy', 'plum brandy', 'raspberry brandy', 'pear brandy', 'cider', 'white wine', 'rose wine', 'malt whisky']"
apple brandy (n. moledules),"['pear brandy', 'plum brandy', 'cherry brandy', 'white wine', 'brandy', 'blackberry brandy', 'raspberry brandy', 'sherry', 'rum', 'red wine']"
apple brandy (word emb.),"['quince', 'black currant', 'gooseberry', 'bartlett pear', 'elderberry', 'red currant', 'cherry brandy', 'whisky', 'blackberry brandy', 'sparkling wine']"
apple cider vinegar (weighted),"['cherry', 'wholewheat bread', 'apple', 'banana', 'black currant', 'coffee', 'peanut butter', 'pineapple', 'peanut', 'cabbage']"
apple cider vinegar (n. moledules),"['apple', 'cabbage', 'black currant', 'coffee', 'banana', 'beer', 'chocolate', 'tea', 'cherry', 'cocoa']"
apple cider vinegar (word emb.),"['vinegar', 'apple brandy', 'cabbage', 'beetroot', 'caraway', 'mustard', 'radish', 'canola oil', 'malt', 'wine']"
apricot (weighted),"['plum', 'grape', 'mango', 'fig', 'apple', 'peach', 'orange', 'quince', 'olive oil', 'gooseberry']"
apricot (n. moledules),"['apple', 'tea', 'grape', 'strawberry', 'plum', 'mango', 'guava', 'passionfruit', 'tomato', 'peach']"
apricot (word emb.),"['currant', 'dates', 'fig', 'brazil nut', 'bartlett pear', 'red currant', 'quince', 'black currant', 'peach', 'vanilla']"
arrowroot (weighted),"['borage', 'capers', 'wasabi', 'water chestnut', 'carob', 'shallot', 'ginkgo nuts', 'kelp', 'black raspberry', 'chard']"
arrowroot (n. moledules),"['turnip', 'ginger', 'green beans', 'peanut', 'fennel', 'peanut butter', 'olive oil', 'rosemary', 'red raspberry', 'apricot']"
arrowroot (word emb.),"['carob', 'flaxseed', 'buckwheat', 'licorice', 'dates', 'safflower', 'chamomile', 'hazelnut', 'milk powder', 'black tea']"
artichoke (weighted),"['alfalfa', 'chervil', 'cassava', 'rye', 'pumpkin', 'sweet potato', 'dates', 'japanese pumpkin', 'lentils', 'garden cress']"
artichoke (n. moledules),"['orange', 'melon', 'tea', 'peas', 'tomato', 'soybean', 'endive', 'olive oil', 'grapefruit', 'fig']"
artichoke (word emb.),"['romano cheese', 'capers', 'parmesan cheese', 'basil', 'asparagus', 'feta cheese', 'chard', 'ricotta cheese', 'provolone cheese', 'mozzarella cheese']"
asafoetida (weighted),"['nigella seed', 'caraway', 'mace', 'ricotta cheese', 'curry leaf', 'fir', 'myrtle', 'gin', 'eucalyptus', 'citrus zest']"
asafoetida (n. moledules),"['celery', 'dill', 'oregano', 'rosemary', 'coriander', 'ginger', 'laurel', 'black pepper', 'spearmint', 'allspice']"
asafoetida (word emb.),"['curry leaf', 'mustard oil', 'fenugreek', 'nigella seed', 'paneer', 'tamarind', 'cashew nut', 'cassia', 'basmati rice', 'chickpea']"
asparagus (weighted),"['kohlrabi', 'leek', 'spinach', 'endive', 'okra', 'japanese pumpkin', 'pumpkin', 'chard', 'dates', 'mung bean']"
asparagus (n. moledules),"['tea', 'soybean', 'potato', 'rice', 'peanut', 'peanut butter', 'chocolate', 'cocoa', 'corn', 'tomato']"
asparagus (word emb.),"['chervil', 'scallop', 'tarragon', 'artichoke', 'spinach', 'sorrel', 'chive', 'salmon', 'white wine', 'watercress']"
avocado (weighted),"['pistachio', 'cashew nut', 'wheat', 'cauliflower', 'brazil nut', 'pear', 'cucumber', 'zucchini', 'beetroot', 'hazelnut']"
avocado (n. moledules),"['tomato', 'tea', 'mango', 'apple', 'grape', 'potato', 'guava', 'plum', 'peach', 'fig']"
avocado (word emb.),"['lime zest', 'papaya', 'prickly pear', 'radish', 'mango', 'kiwifruit', 'cucumber', 'mint', 'melon', 'mate']"
banana (weighted),"['pear', 'olive oil', 'apple', 'grape', 'walnut', 'quince', 'pistachio', 'olive', 'avocado', 'brazil nut']"
banana (n. moledules),"['apple', 'grape', 'strawberry', 'tea', 'papaya', 'passionfruit', 'guava', 'melon', 'apricot', 'chocolate']"
banana (word emb.),"['vanilla', 'blueberry', 'oats', 'passionfruit', 'chocolate', 'brazil nut', 'cocoa', 'rhubarb', 'black raspberry', 'kiwifruit']"
barley (weighted),"['rye', 'lentils', 'zucchini', 'chard', 'chickpea', 'beetroot', 'turnip', 'alfalfa', 'japanese pumpkin', 'chervil']"
barley (n. moledules),"['peanut butter', 'cocoa', 'chocolate', 'peanut', 'tea', 'soybean', 'potato', 'corn', 'oats', 'pecan']"
barley (word emb.),"['turnip', 'parsnip', 'rutabaga', 'lima beans', 'green beans', 'zucchini', 'leek', 'summer savory', 'lentils', 'potato']"
bartlett pear (weighted),"['citrus zest', 'citrus', 'corn oil', 'pear brandy', 'bitter orange', 'nut', 'white wine', 'rose wine', 'plum wine', 'plumcot']"
bartlett pear (n. moledules),"['pear', 'apple', 'grape', 'peach', 'white wine', 'melon', 'papaya', 'guava', 'rum', 'strawberry']"
bartlett pear (word emb.),"['pear brandy', 'quince', 'persimmon', 'fig', 'kumquat', 'apple brandy', 'black currant', 'gooseberry', 'elderberry', 'tangerine']"
basil (weighted),"['oregano', 'rosemary', 'sage', 'tarragon', 'fennel', 'coriander', 'lemon', 'thyme', 'dill', 'spearmint']"
basil (n. moledules),"['oregano', 'rosemary', 'ginger', 'black pepper', 'laurel', 'spearmint', 'marjoram', 'mandarin orange', 'dill', 'tea']"
basil (word emb.),"['artichoke', 'romano cheese', 'olive', 'feta cheese', 'capers', 'eggplant', 'parmesan cheese', 'provolone cheese', 'mozzarella cheese', 'olive oil']"
basmati rice (weighted),"['bitter orange', 'fish', 'rose', 'corn oil', 'clam', 'caraway', 'nut', 'comte cheese', 'camembert cheese', 'provolone cheese']"
basmati rice (n. moledules),"['soybean', 'rice', 'tea', 'asparagus', 'tomato', 'potato', 'corn', 'oats', 'guava', 'melon']"
basmati rice (word emb.),"['fenugreek', 'cashew nut', 'curry leaf', 'coriander', 'paneer', 'cardamom', 'turmeric', 'saffron', 'chickpea', 'asafoetida']"
beans (weighted),"['green beans', 'lima beans', 'peas', 'olive oil', 'avocado', 'cauliflower', 'macadamia nut', 'tomato', 'brussels sprout', 'olive']"
beans (n. moledules),"['green beans', 'lima beans', 'tea', 'soybean', 'tomato', 'cocoa', 'chocolate', 'mushroom', 'grape', 'apple']"
beans (word emb.),"['kidney beans', 'lentils', 'oregano', 'lima beans', 'beef', 'turkey', 'tomato', 'chickpea', 'okra', 'red wine']"
beef (weighted),"['pork', 'chicken', 'turkey', 'butter', 'egg', 'milk', 'crab', 'cod', 'milk powder', 'yogurt']"
beef (n. moledules),"['chicken', 'beer', 'pork', 'tea', 'potato', 'apple', 'mushroom', 'tomato', 'rice', 'soybean']"
beef (word emb.),"['turkey', 'ham', 'marjoram', 'chicken', 'kidney beans', 'lima beans', 'rutabaga', 'lentils', 'pork', 'beans']"
